Date,GD,CL,APD,MTB,CSX,SNPS,HBAN,CDNS,MMM,FDX,EPD,FCX,SHW,KLAC,USB,CCI,MNST,MCO,OXY,HSY,PSA,AAPL,MSFT,AMZN,PFE,PEP,COKE,JNJ,WMT,GS
2006-04-01,65.45999908447266,29.950000762939453,59.130435943603516,117.91999816894531,3.913332939147949,18.770000457763672,23.579999923706055,17.1200008392334,80.7699966430664,116.86000061035156,12.449999809265137,27.704999923706055,15.826666831970215,41.56999969482422,30.8799991607666,34.540000915527344,3.9660420417785645,54.459999084472656,49.12459945678711,55.06999969482422,75.9000015258789,2.0453569889068604,23.299999237060547,1.934000015258789,22.26755142211914,60.040000915527344,50.77000045776367,59.91999816894531,48.16999816894531,150.42999267578125
2006-07-01,71.66999816894531,31.049999237060547,61.396854400634766,119.95999908447266,3.647778034210205,19.719999313354492,23.93000030517578,16.959999084472656,74.41999816894531,108.68000030517578,13.375,26.6299991607666,18.593332290649414,44.470001220703125,33.220001220703125,35.2400016784668,2.706666946411133,65.37999725341797,46.09233474731445,53.45000076293945,85.98999786376953,2.749285936355591,27.350000381469727,1.6059999465942383,26.907020568847656,65.26000213623047,61.97999954223633,64.94000244140625,49.31999969482422,169.1699981689453
2006-10-01,74.3499984741211,32.619998931884766,65.01387786865234,122.16000366210938,3.8255560398101807,26.729999542236328,23.75,17.90999984741211,77.93000030517578,108.62000274658203,14.489999771118164,27.864999771118164,21.19333267211914,49.75,36.189998626708984,32.29999923706055,2.8066670894622803,69.05999755859375,46.78213882446289,49.79999923706055,97.5,3.0299999713897705,29.860000610351562,1.9730000495910645,24.573055267333984,62.54999923706055,68.43000030517578,66.0199966430664,46.18000030517578,199.35000610351562
2007-01-01,76.4000015258789,33.39500045776367,68.41812896728516,115.83000183105469,4.449999809265137,26.229999542236328,21.850000381469727,21.059999465942383,76.43000030517578,107.43000030517578,15.899999618530273,33.095001220703125,22.01333236694336,53.31999969482422,34.970001220703125,32.130001068115234,3.1566669940948486,62.060001373291016,47.242008209228516,54.65999984741211,94.66999816894531,3.318213939666748,27.8700008392334,1.9895000457763672,23.965843200683594,63.560001373291016,56.630001068115234,60.2599983215332,46.95000076293945,206.6300048828125
2007-04-01,78.22000122070312,32.42499923706055,74.34782409667969,106.9000015258789,5.008889198303223,26.43000030517578,22.739999771118164,21.959999084472656,86.79000091552734,110.97000122070312,15.904999732971191,41.40999984741211,22.156667709350586,54.95000076293945,32.95000076293945,36.27000045776367,3.581666946411133,62.20000076293945,55.45259475708008,50.619998931884766,76.81999969482422,4.3585710525512695,29.469999313354492,3.4205000400543213,24.25996208190918,64.8499984741211,50.29999923706055,61.619998931884766,48.11000061035156,216.75
2007-07-01,84.47000122070312,35.65999984741211,90.43478393554688,103.44999694824219,4.747777938842773,27.079999923706055,16.979999542236328,22.190000534057617,93.58000183105469,104.75,15.125,52.44499969482422,21.90333366394043,55.779998779296875,32.529998779296875,40.630001068115234,4.72333288192749,50.400001525878906,61.392574310302734,46.40999984741211,78.6500015258789,5.4810709953308105,29.459999084472656,4.65749979019165,23.178367614746094,73.26000213623047,60.29999923706055,65.69999694824219,43.650001525878906,216.74000549316406
2007-10-01,88.98999786376953,38.97999954223633,91.23959350585938,81.56999969482422,4.886666774749756,25.93000030517578,14.760000228881836,17.010000228881836,84.31999969482422,89.16999816894531,15.9399995803833,51.220001220703125,19.34666633605957,48.15999984741211,31.739999771118164,41.599998474121094,3.69083309173584,35.70000076293945,73.76114654541016,39.400001525878906,73.41000366210938,7.074285984039307,35.599998474121094,4.631999969482422,21.565465927124023,75.9000015258789,58.880001068115234,66.69999694824219,47.529998779296875,215.0500030517578
2008-01-01,83.37000274658203,38.95500183105469,85.10638427734375,80.4800033569336,6.230000019073486,22.709999084472656,10.75,10.680000305175781,79.1500015258789,92.66999816894531,14.850000381469727,48.11000061035156,17.01333236694336,37.099998474121094,32.36000061035156,34.4900016784668,2.941667079925537,34.83000183105469,70.10135650634766,37.66999816894531,88.62000274658203,5.125,28.3799991607666,3.565000057220459,19.857685089111328,72.19999694824219,61.619998931884766,64.87000274658203,52.68000030517578,165.38999938964844
2008-04-01,84.19999694824219,34.54999923706055,91.45236206054688,70.54000091552734,6.978888988494873,23.899999618530273,5.769999980926514,10.100000381469727,69.58999633789062,78.79000091552734,14.770000457763672,58.595001220703125,15.3100004196167,40.709999084472656,27.889999389648438,38.72999954223633,2.4016671180725098,34.439998626708984,86.09140014648438,32.779998779296875,80.79000091552734,5.980000019073486,27.510000228881836,3.6665000915527344,16.574953079223633,63.59000015258789,36.97999954223633,64.33999633789062,56.20000076293945,174.89999389648438
2008-07-01,73.62000274658203,37.67499923706055,63.358001708984375,89.25,6.063333034515381,19.950000762939453,7.989999771118164,6.760000228881836,68.30999755859375,79.04000091552734,12.885000228881836,28.424999237060547,19.053333282470703,31.649999618530273,36.02000045776367,28.969999313354492,2.5208330154418945,34.0,67.49542999267578,39.540000915527344,99.01000213623047,4.059286117553711,26.690000534057617,3.638000011444092,17.495256423950195,71.2699966430664,43.65999984741211,69.27999877929688,59.88999938964844,128.0
2008-10-01,57.59000015258789,34.27000045776367,46.503238677978516,57.40999984741211,3.6077780723571777,18.520000457763672,7.659999847412109,3.6600000858306885,57.540000915527344,64.1500015258789,10.364999771118164,12.220000267028809,19.916667938232422,21.790000915527344,25.010000228881836,17.579999923706055,2.7941670417785645,20.09000015258789,57.47410583496094,34.7400016784668,79.5,3.0482139587402344,19.440000534057617,2.563999891281128,16.802656173706055,54.77000045776367,45.959999084472656,59.83000183105469,56.060001373291016,84.38999938964844
2009-01-01,41.59000015258789,29.489999771118164,52.035152435302734,45.2400016784668,2.8722219467163086,20.729999542236328,1.659999966621399,4.199999809265137,49.720001220703125,44.4900016784668,11.125,19.05500030517578,17.323333740234375,20.0,14.609999656677246,20.40999984741211,3.0,22.920000076293945,53.31611633300781,34.75,55.25,3.754286050796509,18.3700008392334,3.671999931335449,12.922201156616211,51.47999954223633,52.04999923706055,52.599998474121094,52.099998474121094,106.0199966430664
2009-04-01,55.38999938964844,35.369998931884766,59.7502326965332,50.93000030517578,3.847778081893921,19.510000228881836,4.179999828338623,5.900000095367432,60.099998474121094,55.619998931884766,12.470000267028809,25.05500030517578,17.916667938232422,25.25,17.920000076293945,24.020000457763672,2.571666955947876,26.350000381469727,63.05002212524414,36.0,65.4800033569336,5.086785793304443,23.770000457763672,4.183000087738037,14.231498718261719,54.959999084472656,55.130001068115234,56.79999923706055,48.439998626708984,147.44000244140625
2009-07-01,64.5999984741211,38.13999938964844,71.76688385009766,62.31999969482422,4.651111125946045,22.420000076293945,4.710000038146973,7.340000152587891,73.80000305175781,75.22000122070312,14.15999984741211,34.30500030517578,20.053333282470703,35.86000061035156,21.860000610351562,31.360000610351562,3.061666965484619,20.459999084472656,75.11201477050781,38.86000061035156,75.23999786376953,6.619643211364746,25.719999313354492,4.668000221252441,15.70208740234375,58.65999984741211,48.43000030517578,60.88999938964844,49.09000015258789,184.35000610351562
